Group,Sample ID,Height,87/86Sr,rsInternal Precision,Stable Sr,ssInternal Precision,44/40Ca,Internal Precision,d13c,d18o,ppm in rock,Na,Mg,Al ,K,Ca,Ti,Mn,Rb,Sr,Ba,δSsulfate34,δSpyrite34,ΔS34,[CAS],FeS2- S
JWang OAE,Jwang15,696.8,0.7073613,,0.25,,-1.06,,3.92,-2.37,,,4342,,,384823,,39,,401,,,,,,
JWang OAE,Jwang16,725.1,0.7074012,,0.26,,-1.03,,3.68,-2.4,,,4112,,,397212,,42,,345,,,,,,
JWang OAE,Jwang17,744.15,0.7074089,,0.27,,-0.99,,3.8,-2.08,,,3783,,,389523,,39,,378,,,,,,
JWang OAE,Jwang18,763.2,0.7074104,,0.32,,-0.89,,4.65,-1.98,,,3551,,,383721,,31,,369,,,,,,
JWang OAE,Jwang19,772.65,0.7074873,,0.30,,-0.89,,4.32,-2.43,,,3678,,,366748,,32,,267,,,,,,
JWang OAE,Jwang20,794.45,0.7075037,,0.33,,-0.88,,2,-1.72,,,3561,,,374273,,37,,358,,,,,,
JWang OAE,Jwang21,821.6,0.7074775,,0.28,,-0.91,,-0.64,-1.3,,,4762,,,371683,,62,,404,,,,,,
JWang OAE,Jwang22,850.81,0.7075074,,0.29,,-0.95,,0.52,-2.3,,,5697,,,370271,,39,,431,,,,,,
JWang OAE,Jwang23,868.9,0.7074723,,0.27,,-1.06,,2.22,-2.31,,,5729,,,384991,,33,,403,,,,,,
JWang OAE,Jwang24,878.8,0.7074689,,0.28,,-1.07,,2.17,-2.86,,,4634,,,385983,,39,,394,,,,,,
JWang OAE,Jwang25,888.17,0.7074909,,0.29,,-0.96,,2.3,-2.4,,,4281,,,396232,,31,,363,,,,,,
JWang OAE,Jwang26,907.85,0.7074712,,0.29,,-0.95,,2.54,-2.87,,,5970,,,395882,,39,,311,,,,,,
JWang OAE,Jwang27,924,0.7075139,,0.32,,-0.88,,0.31,-2.54,,,6055,,,383325,,54,,391,,,,,,
JWang OAE,Jwang28,943.13,0.7075029,,0.30,,-1.02,,1.33,-2.51,,,6332,,,380473,,35,,449,,,,,,
JWang OAE,Jwang29,972.33,0.7075062,,0.29,,-0.96,,2.4,-2.25,,,8676,,,386491,,36,,266,,,,,,
JWang OAE,Jwang30,1010.93,0.7075038,,0.30,,-0.91,,2.53,-1.81,,,5831,,,381463,,42,,369,,,,,,
JWang OAE,Jwang31,1058.20,0.7075084,,0.33,,,,1.5,-2.59,,,9127,,,386347,,35,,225,,,,,,
JWang OAE,Jwang32,1107.2,0.7074812,,0.29,,-0.93,,2.65,-2.27,,,15908,,,383040,,29,,333,,,,,,
JWang OAE,Jwang33,1193.75,0.7074844,,0.30,,-0.91,,1.49,-2.84,,,12472,,,338819,,32,,377,,,,,,
