Group,Sample ID,Sample Name,Height,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,,rsRep 1 Wheel #,rsRep 1 date,rsRep 1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 87/86Sr,rsRep 2 internal precision,,ssSample mass for analysis,ssSpike mass for analysis,,ssWheel Number,ssDate,Stable Sr,ssInternal Precision,,ssRep 1 Wheel #,ssRep 1 date,ssrep 1 value,ssrep 1 internal precision,ssRep 2 Wheel #,ssRep 2 date,srsRep 2 88/86,ssRep 2 internal precision,,CaSample mass for analysis (g) ,Ca spike mass (g),,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,,Rep 2 Wheel #,CaRep 2 date,CaRep 2,CaRep 2 internal precision,,Sr mmol in rock,Ca mol in rock,Mg mol in rock,d13C,d18O,d26/24 Mg vs DSM 3,d7Li vs LSVEC,Mg (mol/mol Ca),Sr (mmol/mol Ca),Mn (mmol/mol Ca),Li (μmol/mol Ca)
HigMeasured,PCh15,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,,,,,,,,,,,,,,,,0.37,-2.07,-1.4,,0.97,0.17,1.37,0.9
HigMeasured,PCh16,,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.18,,,,,,,,,,,,,,,,-0.13,2.26,-1.57,7.79,0.99,0.15,0.92,2
HigMeasured,PCh17,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.14,,,,,,,,,,,,,,,,0.63,0.78,-1.5,7.88,0.97,0.15,1.33,1.65
HigMeasured,PCh18,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.14,,,,,,,,,,,,,,,,0.51,-2.08,-1.39,8.46,1.01,0.15,1.84,2.42
HigMeasured,PCh19,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.12,,,,,,,,,,,,,,,,0.72,0.54,-1.61,7.22,1,0.15,2.24,2.04
HigMeasured,PCh20,,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.01,,,,,,,,,,,,,,,,0.13,0.48,-1.95,8.92,1,0.13,1.27,2.05
HigMeasured,PCh21,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.98,,,,,,,,,,,,,,,,0.42,1.62,-1.78,9.59,0.98,0.13,1.65,1.46
HigMeasured,PCh22,,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78,,,,,,,,,,,,,,,,0.43,1.4,-1.66,9.51,1,0.12,1.34,1.15
HigMeasured,PCh23,,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.86,,,,,,,,,,,,,,,,1.21,2.17,-1.72,9.22,1.01,0.14,1.99,1.83
HigMeasured,PCh24,,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.02,-1.61,9.19,1.02,0.14,1.33,1.88
